Ticker,total_return,ann_vol
DFNS.MI,1.8594113852720016,0.09293841865943478
EUN2.DE,1.422204840558313,0.18921244111111205
INRG.MI,0.876945710527661,0.25302424445438587
EIMI.L,0.8392934213973462,0.19045442803942017
0P0001CJGN.F,0.8034000396728516,0.13343970616223147
0P000125YU.L,0.5993658149253722,0.025509514745908776
0P0001FAMF.F,0.1649392571653221,0.012602475131220967
0P00000LRT.F,0.08100978669119119,0.001555785621163243
0P00000F24.F,0.07272357421595532,0.0014912958018086645
0P0001K6GO.F,0.0454679587631055,0.02552700692542401
IE0007472115.IR,-0.03567967783789594,0.0455147798966885
