Symbol,Sector,MFI,RSC,Signal,Score,Reasons,Volatility,Return_3M,Sharpe_3M,Trend_200d
XLK,Tecnología,64.26519856540529,7.208364866341177,COMPRAR,2,"['MFI alto (64.3)', 'Superior al mercado (+7.2%)']",11.780863472063471,10.906669768010445,0.9257954473264168,✅
XLU,Utilidades,70.55478427202397,-1.4023954814016637,COMPRAR,2,['MFI muy alto (70.6)'],13.474262258592852,8.31218796365234,0.6168937344492804,✅
XLY,Consumo Discrecional,54.28177868974797,-0.5898284942141063,NEUTRAL,0,[],14.543226880133153,9.201804571047445,0.6327209667352172,✅
XLE,Energía,58.9239585888984,-7.978564478572892,NEUTRAL,0,"['MFI alto (58.9)', 'Inferior al mercado (-8.0%)']",17.59579148568963,3.53025760794492,0.20063079349491159,✅
XLV,Salud,55.14231986734009,-8.188588731283142,NEUTRAL,0,"['MFI alto (55.1)', 'Inferior al mercado (-8.2%)']",18.062431176547346,6.366142207056291,0.35245212257595915,✅
XLF,Financiero,42.949250599082866,-5.013305535686241,VENDER,-2,"['MFI bajo (42.9)', 'Inferior al mercado (-5.0%)']",12.014652245085127,0.7064411932084624,0.05879830550213791,✅
LQD,Bonos Corporativos,35.07306807122886,-6.960921597316705,VENDER,-2,"['MFI bajo (35.1)', 'Inferior al mercado (-7.0%)']",4.963905339825758,3.024546700393893,0.6093078923418914,✅
TLT,Bonos Largo Plazo,40.51023799569274,-8.926439840821644,VENDER,-2,"['MFI bajo (40.5)', 'Inferior al mercado (-8.9%)']",10.47592667590141,3.451869863391499,0.3295049660219658,✅
XLB,Materiales,42.56324093246553,-9.979852145090618,VENDER,-2,"['MFI bajo (42.6)', 'Inferior al mercado (-10.0%)']",14.324159121282538,-2.483496560463816,-0.17337817455363844,✅
